time,joint_positions,joint_velocities,end_effector_position,velocity_magnitude
88.729,"[0.23788341599393714, -0.1693220555156021, 2.003141401440031]","[0.027183174172502843, 0.08702101533640125, -0.06914520903975481]","[0.5431795331478961, 0.10261212602011482, 0.4371502123529439]",0.0664729238288436
89.67,"[0.26239903054567204, -0.11551339604034272, 1.9165153034092839]","[0.025715566229842227, 0.05391265063387977, -0.091010171303638]","[0.5580112175519816, 0.1135323028325897, 0.4728306592939421]",0.054769739486908574
90.445,"[0.2783493406486599, -0.10106446605506658, 1.8393371951947124]","[0.02190454855952129, 0.018087003399036242, -0.10778719747812057]","[0.5744877867765359, 0.12427431914157376, 0.5054737584529139]",0.03831266553108461
91.257,"[0.2900725800746624, -0.11404559242390366, 1.752662358341368]","[0.013735747201635331, -0.020716916799537757, -0.11133140114114476]","[0.5903069095224008, 0.1316231935980992, 0.5240221411432785]",0.02401101799742876
91.955,"[0.29352838722614916, -0.14624268740168755, 1.6862669660417353]","[0.002676006796825862, -0.05781563490721476, -0.10149141886600904]","[0.606322045679024, 0.1343978194183525, 0.5243930377033488]",0.020059633633927695
92.715,"[0.28826497041750265, -0.20653308014078053, 1.6231506746522069]","[-0.010018260739236604, -0.07818566734366458, -0.06891816509836311]","[0.6208564561622538, 0.13279875803256572, 0.5123127585522417]",0.014692179296242645
93.526,"[0.276796460478101, -0.26725643500216467, 1.5824969142204477]","[-0.014173636110353221, -0.06722922317664555, -0.04234912495511557]","[0.6279032607583762, 0.13003695091099712, 0.5026842870738681]",0.009384867810220968
94.423,"[0.2694606862040825, -0.29393334099856094, 1.5691412113912513]","[-0.012912402167082549, -0.04491268905517833, -0.02148286280406803]","[0.634076633754254, 0.12573270122858288, 0.4918535193573567]",0.008207958329677929
95.135,"[0.2583876001967642, -0.3260253132461033, 1.5555148082728127]","[-0.009520986589090145, -0.023016502792098038, -0.008260002768630995]","[0.635515987454082, 0.12397941954486887, 0.4887241918606444]",0.009273243082107047
95.959,"[0.2541659251955295, -0.33435430990502635, 1.5530545817885955]","[-0.007149039700035459, -0.013377955015648885, -0.0037402701532945008]","[0.6365832638932848, 0.12192421550991137, 0.4859781024647001]",0.01021517718100109
96.632,"[0.2505534242451777, -0.3390407628320853, 1.552469445222922]","[-0.0033612080988546203, -0.0016354289700920717, 0.0012722268183083052]","[0.6364225632896139, 0.12068226447383343, 0.4854722904605338]",0.011063948969861667
97.588,"[0.24835258038437225, -0.3382905453894436, 1.5544901361143815]","[-0.001892068088557626, 0.0014994587874826279, 0.0023058699639094105]","[0.6358720270839289, 0.12010829761020207, 0.48585602639245]",0.011535475617747952
98.416,"[0.24762160281253287, -0.3355317720381574, 1.5569103413685825]","[-0.0005031997878480896, 0.00327340854975406, 0.002702336580999033]","[0.6353838763052888, 0.12008318449551146, 0.4864166939678908]",0.011665596156987992
99.185,"[0.24782565709089432, -0.33305380928158446, 1.558585642711769]","[0.00031357699310232095, 0.0030850597971755537, 0.0020742287812426604]","[0.6350860391387557, 0.12022477721966916, 0.4868053203825844]",0.011609093920672152
99.815,"[0.24822282206040658, -0.33170281609154273, 1.559371478232559]","[0.0006329133627480813, 0.002113812261697415, 0.0012651731354741957]","[0.6348714971972437, 0.12043598204196998, 0.4871038930789421]",0.011524947027067488
100.507,"[0.2486961057238739, -0.3307663629701585, 1.5598471620008842]","[0.0005901490020547301, 0.0012142055230220763, 0.0006400090951293604]","[0.6347699476773924, 0.12058542215415385, 0.4872600866537135]",0.011430821422196435
101.205,"[0.2490488389665524, -0.3302761490019437, 1.5600500056739408]","[0.0004742874862857424, 0.0007163690640835752, 0.00034199422445510156]","[0.6347091493920771, 0.1207050651116326, 0.48735396659490504]",0.01136155185547089
101.919,"[0.2492723335256608, -0.3300641527051251, 1.5601177494002414]","[0.000341084899195794, 0.0003464415290171896, 0.0001545201275819467]","[0.6346675052536156, 0.12082151571629973, 0.4874311732699988]",0.01131887337270634
102.696,"[0.24950292400071472, -0.32990507599061747, 1.5601363060756608]","[0.00019464997134836315, 0.00016543396082899925, 6.742460407458767e-05]","[0.6346528871771654, 0.12088495997221793, 0.48746226086938593]",0.011274262574609728
103.74,"[0.24966225457519542, -0.32984587063068016, 1.5601128407594693]","[0.0001130704555336545, 8.032324048674602e-05, 1.8794684181466717e-05]","[0.6346468739237171, 0.12094910466630951, 0.4874907591682842]",0.011243546178650608
104.775,"[0.2497468628452424, -0.329847256521524, 1.5600712737349411]","[4.877625713230297e-05, 2.1771771679922645e-05, 1.2500037535074941e-06]","[0.6346512735264922, 0.1209662333301519, 0.487496399463671]",0.011226798319495386
105.501,"[0.2497722665119131, -0.329866955443606, 1.5600358534499943]","[-2.7314616581859276e-05, -5.895527432670859e-06, -3.813007372472796e-06]","[0.6346584724744988, 0.12096982193935876, 0.48749458995856226]",0.011220999800675625
106.367,"[0.24977409287133767, -0.32989534816315214, 1.5600071424390087]","[-4.88495516732498e-05, -1.5229584150690431e-05, 2.282513758034758e-05]","[0.6346650705640414, 0.12096615281428513, 0.4874928044164588]",0.011220024018219834
107.148,"[0.24976318068480818, -0.32991583693222637, 1.5599859494981594]","[-6.891790162503843e-05, -7.022284759491813e-06, 2.3886298703856695e-05]","[0.6346709227467432, 0.12096079884443489, 0.48748954369777325]",0.011221187690283132
108.024,"[0.24974967834266693, -0.3299365760448154, 1.5599696818223237]","[-3.356758231514854e-05, -7.11891561506495e-06, 4.094974778738092e-05]","[0.6346765774936627, 0.12095308392442496, 0.48748919418253694]",0.01122320269404241
108.867,"[0.2497336320063699, -0.3299475714181934, 1.5599562827755378]","[-5.82855574225967e-05, 1.0641729878424682e-05, 4.7316932338962394e-05]","[0.6346774748115086, 0.12095148710572208, 0.4874878759351893]",0.011225241712020924
