time,joint_positions,joint_velocities,end_effector_position,velocity_magnitude
159.386,"[-0.5449728175601845, -0.5314104938299247, 1.4469571592130563]","[-0.17222422239786253, -0.008561592214490687, -0.008581832390373247]","[0.5477440699640878, -0.35828668276652037, 0.4221400795580182]",0.08600331153544538
160.113,"[-0.7000059630567854, -0.5314038994672314, 1.4589274606982228]","[-0.17220618171030735, 0.00582559994956062, 0.028488589403352332]","[0.4894996439343907, -0.40457347111929537, 0.4122458550310102]",0.08555900693027207
160.808,"[-0.8158163387475756, -0.5194615817221813, 1.4971778509325944]","[-0.16950174951146216, 0.021399222442076593, 0.06475539152142694]","[0.43047496414436587, -0.4316283408641558, 0.3995009180249762]",0.08921301703523377
161.838,"[-0.9284183190440718, -0.4965063538915926, 1.5587454428098946]","[-0.16451009869952843, 0.03625382043840063, 0.09536423949552075]","[0.347163059137104, -0.44916402179376225, 0.38238535223191955]",0.06895249326434143
162.702,"[-1.092818195900879, -0.4469810686269362, 1.6712587163805352]","[-0.168707074360915, 0.05585750669058789, 0.12211870489030949]","[0.257584381551221, -0.4477555038740251, 0.36407688469273053]",0.05074870214882336
163.598,"[-1.2648671315704973, -0.3898188766711117, 1.7964672596265725]","[-0.13534007291860212, 0.04489905314165775, 0.09869949116756074]","[0.20110434112520426, -0.431400445109567, 0.3520153484996154]",0.03896507747048996
164.516,"[-1.3760034504063743, -0.33486340951463767, 1.9016397408916088]","[-0.09865545047236914, 0.0597137966493102, 0.10821522112925354]","[0.16195768487118542, -0.40165544981082035, 0.342421980975298]",0.03519705498766232
165.393,"[-1.448285291411981, -0.2642961454654751, 2.0161824194240516]","[-0.0632918949317928, 0.07648485351349642, 0.119684883758954]","[0.13970859672959302, -0.3588121813088149, 0.3342327489916927]",0.036797971462380445
166.586,"[-1.4887326402954884, -0.16710779695837896, 2.1550471702405822]","[-0.03197759534750172, 0.09167791378224807, 0.1295216688843122]","[0.13297623149784898, -0.31804006692189657, 0.32752351540442154]",0.040956641221358135
167.814,"[-1.4986611321781282, -0.05268344921083745, 2.3054364737657274]","[-0.00039269762766281475, 0.10756621914801139, 0.13871499430209167]","[0.1355131497901768, -0.26642798937895584, 0.318427087257222]",0.044532755075517384
168.851,"[-1.4726380444848637, 0.0869118208772246, 2.4732442542804645]","[0.031583950280163565, 0.12431054385769387, 0.146639040986435]","[0.14442757420251603, -0.2247281973424079, 0.3125875425313583]",0.04591072880071504
169.997,"[-1.4053854872618023, 0.25650416003880316, 2.61009642032845]","[0.07652027908103874, 0.14820788950212846, 0.10342849644196418]","[0.17019595348423444, -0.23805870553127195, 0.35610319446480365]",0.04568150103479502
171.349,"[-1.3144654117277677, 0.42564740668471224, 2.6100208622433456]","[0.0926250193158204, 0.16587193510153378, -0.012300911514131846]","[0.20133057750110595, -0.2390724270889533, 0.4052727475324777]",0.04929371772301054
172.398,"[-1.1985061562479142, 0.6178021840842618, 2.610135426267437]","[0.11324155708096979, 0.18788007990189712, -0.01805473024317414]","[0.23212325422402602, -0.22564186649762452, 0.45516859767591716]",0.05379146474621626
173.476,"[-1.061018926078245, 0.8199584600311107, 2.610002065561421]","[0.14853934188914802, 0.20719844955479425, 4.737882700922569e-05]","[0.2554436444505666, -0.2023368840992236, 0.4978469109829055]",0.05751103112465531
174.459,"[-0.8849255850001461, 1.0445551318873738, 2.6100062936213373]","[0.1834371093476046, 0.21640244787581514, 3.999105356514154e-05]","[0.28219274737171707, -0.13543328332237883, 0.5673493868306048]",0.05714956910880829
175.722,"[-0.6136532147202445, 1.3149061614480244, 2.6100007262934355]","[0.21724403594489133, 0.19862069164566798, 3.290520732629476e-05]","[0.28271966472748833, -0.09178556465110085, 0.5986466341294028]",0.05172421278650395
176.474,"[-0.436427400097287, 1.4569819073520414, 2.6100061126823704]","[0.23595020521722995, 0.16780367577682545, -0.0036584852791190503]","[0.27319039634224984, -0.045013573100464124, 0.62419780306722]",0.04761477734087694
177.389,"[-0.2082596907356402, 1.5956181652948667, 2.6100155007164965]","[0.248622697468472, 0.1321415425362822, -0.006501419704741024]","[0.24903684245146449, 0.0063970630822136314, 0.6453994842352534]",0.04244492026493857
178.535,"[0.14238740403051509, 1.7404181122889462, 2.6100547822028695]","[0.2550161494622226, 0.10012866014104545, 0.058176092647229415]","[0.23165034016669672, 0.031249406630984883, 0.6527339826329552]",0.036120139509693984
179.735,"[0.38512269274026156, 1.8003635363741193, 2.6100295086112]","[0.25744619329475615, 0.06147717385027346, -0.027474564163461765]","[0.2151285400461762, 0.05061488698678751, 0.6567476378295312]",0.03367715356258489
180.641,"[0.6361630645044913, 1.8354308124238532, 2.610003537661834]","[0.2468828282221653, 0.021865194907700863, -0.005493066346169244]","[0.1957689536417479, 0.07627805194676014, 0.6568587000352997]",0.03233012259662333
181.649,"[0.9085693416484704, 1.8306765773324134, 2.6100340869748226]","[0.22115204811656203, -0.007453883332728497, 0.037361912578175845]","[0.18056697121588794, 0.09759779037075465, 0.6532839086289766]",0.03155650579746263
182.757,"[1.1063390962121913, 1.798732514937761, 2.6100346017704616]","[0.18820660869981037, -0.029725040577244406, 0.036115753924369255]","[0.17052506243373075, 0.11094724333579073, 0.6495541965369822]",0.030486471636362627
183.584,"[1.2286198199891487, 1.7669570783949347, 2.6100012163182527]","[0.15142538143048753, -0.042688377772964796, -0.011237786081047231]","[0.15899808836331475, 0.12715274572302296, 0.6431020907522546]",0.029139629705892175
184.397,"[1.357510345962253, 1.7128394748732632, 2.6100326919076533]","[0.11407828209553406, -0.05311788137961876, -0.01583637274946563]","[0.1546579218456149, 0.13517219288991966, 0.6389282804049571]",0.027773753386070833
185.162,"[1.3974164303342569, 1.6817478153096896, 2.610031862955559]","[0.07465589190232114, -0.057820702554059765, -0.015599050356333972]","[0.15095448973043557, 0.14525677939921322, 0.6327298928701831]",0.02708976377600675
186.252,"[1.4302439914395304, 1.6397115282067798, 2.6100328829557427]","[0.03487142927753371, -0.05885184404049455, -0.015320933617781404]","[0.14966254318500724, 0.15701944398046594, 0.6240849724773296]",0.0274592038700791
186.964,"[1.4464596428603063, 1.584721305961363, 2.610032106458105]","[-0.00795083057709007, -0.05746831693619887, 0.03379688476206189]","[0.15682923938266113, 0.16829277253233937, 0.6132662062123146]",0.02919916594329943
187.929,"[1.4126094179213098, 1.5205798130252006, 2.610046336684338]","[-0.03907897013985921, -0.06269566651743974, 0.013285934450408717]","[0.171366429307346, 0.17545197884297176, 0.602901267075084]",0.032769770920974294
189.089,"[1.3346152693754227, 1.4590173780935043, 2.6100462701546476]","[-0.07422633386072583, -0.060248825405088115, 0.013068613175197884]","[0.18883880789978774, 0.17800132957452985, 0.5941485468266736]",0.037828181525787256
189.903,"[1.2452798564155199, 1.4119995890467294, 2.6100461397378414]","[-0.10970400347322794, -0.060189847892856245, 0.012620398903132303]","[0.21445702295558317, 0.17595034836561932, 0.5834474493148842]",0.043282572146232254
190.94,"[1.0990007517986697, 1.3492809807921393, 2.610001119195994]","[-0.14604329892285953, -0.061053386158582766, 4.4649185018660886e-05]","[0.2474209484427563, 0.1669608103974532, 0.5692514698298294]",0.04825361599369716
191.772,"[0.9559512665418186, 1.2875631439938218, 2.6100046089014803]","[-0.17653666218272787, -0.07652364828661354, 4.452360909101838e-05]","[0.2618771737112365, 0.16123376955017898, 0.5619722890128324]",0.041276352140923435
192.472,"[0.8879447255287456, 1.2537386879621941, 2.610005854353785]","[-0.1951073561403109, -0.10281970291161584, 4.237616396697563e-05]","[0.2883021861139117, 0.1472527921598492, 0.5466855029525892]",0.03315645477196087
193.767,"[0.7028449754614492, 1.1555622533620884, 2.6100077545355127]","[-0.15982532964161847, -0.08542871647423919, 3.932161856654015e-05]","[0.32865560893132173, 0.11186038264754773, 0.5179196075389689]",0.025417622869877404
194.531,"[0.5293774195911745, 1.0604318561763648, 2.6100081507169435]","[-0.12456163895617159, -0.06795216200510734, 3.798164830660922e-05]","[0.33594457656343135, 0.10274012208113734, 0.5114084770396706]",0.01673235850872975
