XE,YE,ZE,Num_Solutions
-0.06256809772863811,-0.07964668023852012,0.6659397656147822,4
-0.1541044237075858,-0.12517995540389668,0.6423309683211631,4
-0.23892279879768585,-0.16737149379867425,0.5972169930405649,4
-0.3130265766085988,-0.20423322786733514,0.5327236127115462,4
-0.3729239831493253,-0.23402823072050385,0.4518897588795289,4
-0.41579264940622407,-0.25535256022327407,0.3585243270791394,4
-0.43961260152254233,-0.2672014128240204,0.257026701472018,4
-0.44326144207504936,-0.26901646995172396,0.15217945562880641,4
-0.4265672375009104,-0.2607122060170301,0.04892299740559869,4
-0.39031661961640274,-0.2426799183826123,-0.04787722333961619,4
-0.33621771948347823,-0.21576928941042467,-0.13365997500561477,4
-0.2668196801823699,-0.1812483493831646,-0.20438316972599957,4
-0.18539254105272296,-0.14074372684923933,-0.25671432676658723,2
-0.09577315326425653,-0.0961640017981887,-0.2881875991966114,2
-0.0021843871835475204,-0.049609773269057446,-0.2973199647285548,2
0.09096384950447864,-0.0032746790108393303,-0.2836811058079991,0
0.1792824068835424,0.04065796884608791,-0.24791368619990428,4
0.25860970978583364,0.08011806157482522,-0.1917030686374822,4
0.32520785143746067,0.11324623748636099,-0.11769790043967676,4
0.3759387238264209,0.13848149515223449,-0.029385309107221147,4
0.4084118855206933,0.1546347478756957,0.06907341131251044,4
0.42109719939691936,0.1609448535207291,0.17303888062454437,4
0.4133969327838485,0.15711447957038768,0.2776122403303007,4
0.3856739226579151,0.14332411345096352,0.3778659881031942,4
0.33923447874541934,0.1202235579547656,0.46907616196294777,2
-0.012265172209603464,-0.05462429786970595,0.7032451974877518,4
-0.10620625248031687,-0.10135377943402922,0.7022540259777544,4
-0.1977425784592648,-0.1468870545994059,0.6786452286841352,4
-0.2825609535493646,-0.18907859299418336,0.6335312534035371,4
-0.35666473136027776,-0.2259403270628443,0.5690378730745184,4
-0.41656213790100405,-0.255735329916013,0.4882040192425011,4
-0.45943080415790294,-0.27705965941878324,0.3948385874421116,4
-0.4832507562742211,-0.2889085120195295,0.29334096183499014,4
-0.4868995968267281,-0.290723569147233,0.1884937159917785,4
-0.47020539225258917,-0.28241930521253916,0.08523725776857083,4
-0.4339547743680815,-0.26438701757812144,-0.011562962976643942,4
-0.3798558742351569,-0.2374763886059337,-0.09734571464264274,4
-0.31045783493404866,-0.20295544857867368,-0.16806890936302732,4
-0.2290306958044016,-0.16245082604474834,-0.2204000664036151,2
-0.13941130801593532,-0.11787110099369781,-0.25187333883363927,2
-0.045822541935226085,-0.07131687246456646,-0.26100570436558257,2
0.04732569475279988,-0.024981778206348434,-0.24736684544502685,4
0.13564425213186365,0.018950869650578808,-0.21159942583693214,0
0.214971555034155,0.05841096237931617,-0.15538880827450985,4
0.281569696685782,0.09153913829085195,-0.0813836400767044,4
0.3323005690747422,0.11677439595672537,0.0069289512557511035,4
0.3647737307690146,0.13292764868018658,0.10538767167548269,4
0.3774590446452407,0.13923775432521998,0.20935314098751703,4
0.3697587780321697,0.13540738037487857,0.3139265006932729,4
0.3420357679062366,0.12161701425545449,0.414180248466166,2
0.04406023455694272,-0.026606128933225393,0.72754807683246,4
-0.047859091257052705,-0.07232992121506927,0.7492212351608769,4
-0.1418001715277663,-0.11905940277939266,0.7482300636508795,4
-0.23333649750671404,-0.16459267794476923,0.7246212663572604,4
-0.3181548725968141,-0.20678421633954677,0.6795072910766622,4
-0.392258650407727,-0.24364595040820766,0.6150139107476436,4
-0.4521560569484534,-0.27344095326137635,0.5341800569156264,4
-0.4950247232053523,-0.29476528276414665,0.4408146251152368,4
-0.5188446753216706,-0.3066141353648929,0.33931699950811534,4
